method vars sample run_id time median p95 total stream warmup drift retrain_every status
Stacking-Online 2 800 5 0.004917 0.004904 0.005039 1.966952 400 400 1x 100 ok
BMA 2 800 6 0.000439 0.000056 0.000068 0.175736 400 400 1x 100 ok
Stacking-Online 2 800 6 0.004908 0.004906 0.004935 1.963247 400 400 1x 100 ok
BMA 2 800 7 0.000435 0.000056 0.000068 0.174155 400 400 1x 100 ok
Stacking-Online 2 800 7 0.006155 0.004891 0.005124 2.462158 400 400 1x 100 ok
BMA 2 800 8 0.000437 0.000057 0.000068 0.174851 400 400 1x 100 ok
Stacking-Online 2 800 8 0.004916 0.004909 0.004930 1.966394 400 400 1x 100 ok
BMA 2 800 9 0.000436 0.000056 0.000067 0.174412 400 400 1x 100 ok
Stacking-Online 2 800 9 0.005273 0.004891 0.004918 2.109256 400 400 1x 100 ok
BMA 4 800 0 0.000704 0.000057 0.000068 0.281658 400 400 1x 100 ok
Stacking-Online 4 800 0 0.007879 0.007873 0.007902 3.151791 400 400 1x 100 ok
BMA 4 800 1 0.000705 0.000057 0.000069 0.282120 400 400 1x 100 ok
Stacking-Online 4 800 1 0.007768 0.007759 0.007797 3.107146 400 400 1x 100 ok
BMA 4 800 2 0.000707 0.000056 0.000069 0.282616 400 400 1x 100 ok
Stacking-Online 4 800 2 0.007751 0.007747 0.007774 3.100578 400 400 1x 100 ok
BMA 4 800 3 0.000708 0.000057 0.000069 0.283024 400 400 1x 100 ok
Stacking-Online 4 800 3 0.007895 0.007888 0.007934 3.157935 400 400 1x 100 ok
BMA 4 800 4 0.000706 0.000056 0.000069 0.282394 400 400 1x 100 ok
Stacking-Online 4 800 4 0.007737 0.007737 0.007762 3.094741 400 400 1x 100 ok
BMA 4 800 5 0.000706 0.000056 0.000068 0.282351 400 400 1x 100 ok
Stacking-Online 4 800 5 0.007757 0.007747 0.007776 3.102903 400 400 1x 100 ok
BMA 4 800 6 0.000708 0.000057 0.000070 0.283329 400 400 1x 100 ok
Stacking-Online 4 800 6 0.007889 0.007888 0.007917 3.155455 400 400 1x 100 ok
BMA 4 800 7 0.000708 0.000057 0.000067 0.283138 400 400 1x 100 ok
Stacking-Online 4 800 7 0.007913 0.007912 0.007936 3.165166 400 400 1x 100 ok
BMA 4 800 8 0.000704 0.000057 0.000068 0.281784 400 400 1x 100 ok
Stacking-Online 4 800 8 0.007906 0.007902 0.007927 3.162557 400 400 1x 100 ok
BMA 4 800 9 0.000710 0.000056 0.000067 0.283997 400 400 1x 100 ok
Stacking-Online 4 800 9 0.007776 0.007768 0.007796 3.110404 400 400 1x 100 ok
BMA 8 800 0 0.001989 0.000057 0.000068 0.795659 400 400 1x 100 ok
Stacking-Online 8 800 0 0.014145 0.014138 0.014174 5.658119 400 400 1x 100 ok
BMA 8 800 1 0.001958 0.000056 0.000067 0.783297 400 400 1x 100 ok
Stacking-Online 8 800 1 0.014442 0.014431 0.014468 5.776999 400 400 1x 100 ok
BMA 8 800 2 0.001989 0.000057 0.000069 0.795702 400 400 1x 100 ok
Stacking-Online 8 800 2 0.014383 0.014376 0.014423 5.753324 400 400 1x 100 ok
BMA 8 800 3 0.001987 0.000057 0.000069 0.794982 400 400 1x 100 ok
Stacking-Online 8 800 3 0.014443 0.014076 0.014133 5.777242 400 400 1x 100 ok
BMA 8 800 4 0.001988 0.000057 0.000070 0.795076 400 400 1x 100 ok
Stacking-Online 8 800 4 0.014733 0.014350 0.014416 5.893118 400 400 1x 100 ok
BMA 8 800 5 0.001985 0.000056 0.000069 0.793967 400 400 1x 100 ok
Stacking-Online 8 800 5 0.014116 0.014104 0.014155 5.646277 400 400 1x 100 ok
BMA 8 800 6 0.001984 0.000057 0.000069 0.793473 400 400 1x 100 ok
Stacking-Online 8 800 6 0.014377 0.014369 0.014416 5.750646 400 400 1x 100 ok
BMA 8 800 7 0.001988 0.000057 0.000070 0.795072 400 400 1x 100 ok
Stacking-Online 8 800 7 0.014490 0.014115 0.014173 5.795931 400 400 1x 100 ok
BMA 8 800 8 0.001987 0.000057 0.000070 0.794825 400 400 1x 100 ok
Stacking-Online 8 800 8 0.014410 0.014402 0.014463 5.764119 400 400 1x 100 ok
BMA 8 800 9 0.001989 0.000057 0.000069 0.795454 400 400 1x 100 ok
Stacking-Online 8 800 9 0.014130 0.014118 0.014174 5.651882 400 400 1x 100 ok
BMA 16 800 0 0.023019 0.000058 0.000067 9.207422 400 400 1x 100 ok
Stacking-Online 16 800 0 0.052834 0.051658 0.051792 21.133797 400 400 1x 100 ok
BMA 16 800 1 0.023000 0.000058 0.000067 9.200154 400 400 1x 100 ok
Stacking-Online 16 800 1 0.054119 0.052924 0.053096 21.647459 400 400 1x 100 ok
BMA 16 800 2 0.023047 0.000058 0.000070 9.218739 400 400 1x 100 ok
Stacking-Online 16 800 2 0.054030 0.052832 0.053019 21.611855 400 400 1x 100 ok
BMA 16 800 3 0.023011 0.000058 0.000067 9.204410 400 400 1x 100 ok
Stacking-Online 16 800 3 0.054167 0.052984 0.053180 21.666861 400 400 1x 100 ok
BMA 16 800 4 0.023010 0.000058 0.000068 9.204119 400 400 1x 100 ok
Stacking-Online 16 800 4 0.053919 0.052710 0.052955 21.567548 400 400 1x 100 ok
BMA 16 800 5 0.022966 0.000058 0.000067 9.186312 400 400 1x 100 ok
Stacking-Online 16 800 5 0.054119 0.052899 0.053117 21.647571 400 400 1x 100 ok
BMA 16 800 6 0.022940 0.000058 0.000068 9.175840 400 400 1x 100 ok
